record_id,source_id,source_title,record_name,normalized_name,text_exists,text_characters,image_count,dimension_signature,entity_attribute_count,asset_status,text_path,image_directory
Yjzq00039,Yjzq,一见钟琴,无名琴 · Yjzq00039,无名琴,True,268,5,L=122cm; W=18.8cm; T=5.3cm,5,complete,/Users/yudong/Desktop/KGExplorer/backend/data/raw/text/Yjzq-txt-id/Yjzq00039.txt,/Users/yudong/Desktop/KGExplorer/backend/data/raw/image/Yjzq00039
Yjzq00040,Yjzq,一见钟琴,无名琴 · Yjzq00040,无名琴,True,600,4,L=122.3cm; W=19.8cm; T=5.8cm,9,complete,/Users/yudong/Desktop/KGExplorer/backend/data/raw/text/Yjzq-txt-id/Yjzq00040.txt,/Users/yudong/Desktop/KGExplorer/backend/data/raw/image/Yjzq00040
Yjzq00042,Yjzq,一见钟琴,无名琴 · Yjzq00042,无名琴,True,301,8,L=125.3cm; W=20.4cm; T=5.5cm,5,complete,/Users/yudong/Desktop/KGExplorer/backend/data/raw/text/Yjzq-txt-id/Yjzq00042.txt,/Users/yudong/Desktop/KGExplorer/backend/data/raw/image/Yjzq00042
Yjzq00043,Yjzq,一见钟琴,雪声,雪声,True,1823,3,L=1157cm; W=18.3cm; T=4.7cm,5,complete,/Users/yudong/Desktop/KGExplorer/backend/data/raw/text/Yjzq-txt-id/Yjzq00043.txt,/Users/yudong/Desktop/KGExplorer/backend/data/raw/image/Yjzq00043
Yjzq00047,Yjzq,一见钟琴,无名琴 · Yjzq00047,无名琴,True,254,5,L=123.8cm; W=21.8cm; T=5.7cm,6,complete,/Users/yudong/Desktop/KGExplorer/backend/data/raw/text/Yjzq-txt-id/Yjzq00047.txt,/Users/yudong/Desktop/KGExplorer/backend/data/raw/image/Yjzq00047
Yjzq00048,Yjzq,一见钟琴,靡雷,靡雷,True,397,5,L=1261cm; W=20.3cm; T=5.2cm,8,complete,/Users/yudong/Desktop/KGExplorer/backend/data/raw/text/Yjzq-txt-id/Yjzq00048.txt,/Users/yudong/Desktop/KGExplorer/backend/data/raw/image/Yjzq00048
Yjzq00050,Yjzq,一见钟琴,无名琴 · Yjzq00050,无名琴,True,198,4,L=110.5cm; W=17.3cm; T=4.8cm,5,complete,/Users/yudong/Desktop/KGExplorer/backend/data/raw/text/Yjzq-txt-id/Yjzq00050.txt,/Users/yudong/Desktop/KGExplorer/backend/data/raw/image/Yjzq00050
Yjzq00052,Yjzq,一见钟琴,无名琴 · Yjzq00052,无名琴,True,169,5,L=124cm; W=19.2cm; T=5.1cm,6,complete,/Users/yudong/Desktop/KGExplorer/backend/data/raw/text/Yjzq-txt-id/Yjzq00052.txt,/Users/yudong/Desktop/KGExplorer/backend/data/raw/image/Yjzq00052
Yjzq00053,Yjzq,一见钟琴,松风,松风,True,425,5,L=1232cm; W=20cm; T=2cm,4,complete,/Users/yudong/Desktop/KGExplorer/backend/data/raw/text/Yjzq-txt-id/Yjzq00053.txt,/Users/yudong/Desktop/KGExplorer/backend/data/raw/image/Yjzq00053
Yjzq00058,Yjzq,一见钟琴,金声玉振,金声玉振,True,279,5,L=107.3cm; W=17.6cm; T=4.8cm,4,complete,/Users/yudong/Desktop/KGExplorer/backend/data/raw/text/Yjzq-txt-id/Yjzq00058.txt,/Users/yudong/Desktop/KGExplorer/backend/data/raw/image/Yjzq00058
